player,VSA,SBA,SwM,FB_SwM,BB_SwM,IZ_SwM,swings,IZ_swings,IZ swings/miss
"Toglia, Michael",-35.2,-12.8,0.36,0.20,0.56,0.16,294,178,28
"Torkelson, Spencer",-31.6,-13.1,0.22,0.15,0.28,0.13,985,675,89
"Toro-Hernandez, Abraham",-32.9,-10.5,0.32,0.43,0.17,0.14,22,14,2
"Torrens, Luis",-30.7,-21.4,0.14,0.00,0.36,0.05,30,21,1
"Torres, Gleyber",-35.0,-22.5,0.18,0.15,0.21,0.14,1060,672,97
"Tovar, Ezequiel",-36.8,-9.3,0.29,0.22,0.35,0.17,1097,653,112
"Trammell, Taylor",-30.9,-11.7,0.38,0.33,0.43,0.27,98,64,17
"Trejo, Alan",-35.8,-18.3,0.20,0.11,0.26,0.11,323,201,22
"Trevino, Jose",-24.0,-24.9,0.15,0.08,0.23,0.10,154,83,8
"Triolo, Jared",-40.2,-11.7,0.30,0.17,0.42,0.17,339,219,38
"Trout, Mike",-37.6,-11.6,0.25,0.21,0.36,0.17,450,320,54
"Tucker, Kyle",-38.0,-3.3,0.17,0.11,0.24,0.11,940,658,72
"Turang, Brice",-29.4,-10.5,0.16,0.16,0.20,0.12,693,458,56
"Turner, Justin",-35.6,-16.6,0.14,0.10,0.21,0.08,935,586,47
"Turner, Trea",-29.8,-21.3,0.28,0.14,0.42,0.16,1174,727,118
"Urias, Luis",-32.5,-35.9,0.24,0.21,0.21,0.14,269,177,24
"Urias, Ramon",-26.4,-28.5,0.24,0.21,0.23,0.15,540,362,53
"Urshela, Gio",-34.8,-15.3,0.15,0.12,0.19,0.08,283,170,14
"Valdez, Enmanuel",-29.4,-20.5,0.23,0.19,0.26,0.15,211,128,19
"Vargas, Ildemaro",-24.2,-12.9,0.10,0.08,0.17,0.05,424,275,14
"Vargas, Miguel",-36.1,-14.2,0.19,0.17,0.24,0.13,405,289,38
"Varsho, Daulton",-28.3,-14.6,0.21,0.19,0.24,0.14,887,591,80
"Vaughn, Andrew",-29.9,-12.8,0.21,0.10,0.34,0.11,854,513,55
"Vavra, Terrin",-40.0,-23.6,0.23,0.21,0.31,0.18,57,44,8
"Vazquez, Christian",-30.0,-24.0,0.24,0.23,0.30,0.18,490,289,53
"Velazquez, Andrew",-32.4,-25.5,0.32,0.28,0.37,0.25,200,132,33
"Velazquez, Nelson",-31.8,-21.7,0.33,0.15,0.46,0.24,254,178,43
"Verdugo, Alex",-30.2,-9.9,0.14,0.08,0.27,0.06,764,508,29
"Vientos, Mark",-33.4,-30.2,0.32,0.25,0.35,0.23,393,228,52
"Vierling, Matt",-29.4,-10.1,0.16,0.12,0.23,0.10,733,468,46
"Vogelbach, Daniel",-35.1,-16.9,0.20,0.13,0.28,0.10,424,284,29
"Voit, Luke",-39.1,-30.8,0.45,0.27,0.36,0.34,51,32,11
"Volpe, Anthony",-33.2,-20.5,0.25,0.18,0.33,0.16,905,597,95
"Votto, Joey",-40.6,-29.3,0.29,0.19,0.40,0.22,461,312,68
"Wade, Tyler",-35.7,-2.3,0.17,0.15,0.26,0.11,66,47,5
"Walker, Christian",-30.9,-10.6,0.24,0.16,0.33,0.15,1066,711,104
"Walker, Jordan",-36.9,-0.5,0.27,0.15,0.36,0.15,666,396,61
"Wallach, Chad",-30.6,-19.8,0.33,0.24,0.37,0.19,298,194,37
"Wallner, Matt",-35.6,-18.9,0.34,0.31,0.39,0.25,466,295,75
"Walls, Taylor",-33.3,-17.8,0.25,0.21,0.28,0.17,448,319,54
"Walsh, Jared",-31.8,-26.0,0.45,0.40,0.59,0.32,171,99,32
"Ward, Taylor",-30.4,-10.8,0.19,0.13,0.27,0.10,473,340,33
"Waters, Drew",-42.4,-16.3,0.30,0.20,0.40,0.21,601,367,76
"Wells, Austin",-36.7,-14.5,0.29,0.09,0.47,0.17,145,86,15
"Wendle, Joey",-26.6,-8.7,0.22,0.12,0.31,0.12,512,299,37
"Westburg, Jordan",-31.7,-18.5,0.24,0.17,0.27,0.17,401,260,44
"Wiemer, Joey",-22.5,-17.7,0.31,0.23,0.37,0.20,614,354,72
"Williams, Alika",-35.6,-9.8,0.30,0.18,0.42,0.16,229,144,23
"Wilson, Weston",-38.1,-23.5,0.32,0.20,0.57,0.27,32,26,7
"Winker, Jesse",-32.7,-24.1,0.22,0.17,0.25,0.15,266,188,28
"Winn, Masyn",-29.1,-13.5,0.19,0.09,0.19,0.13,196,130,17
"Wisdom, Patrick",-32.2,-21.8,0.30,0.27,0.35,0.21,418,290,61
"Witt Jr, Bobby",-30.8,-9.2,0.22,0.17,0.29,0.14,1013,655,94
"Wong, Connor",-34.2,-23.7,0.29,0.23,0.43,0.18,671,418,76
"Wong, Kolten",-30.7,-11.1,0.19,0.13,0.24,0.10,354,233,24
"Wynns, Austin",-36.6,-15.6,0.25,0.16,0.42,0.19,235,157,30
"Yelich, Christian",-36.8,-18.4,0.23,0.14,0.35,0.14,907,605,82
"Yepez, Juan",-34.1,-14.0,0.22,0.21,0.30,0.09,110,64,6
"Yoshida, Masataka",-30.1,-10.6,0.16,0.08,0.26,0.10,740,472,47
"Young, Jacob",-31.4,-21.2,0.19,0.09,0.27,0.08,207,129,10
"Young, Jared",-30.5,-18.5,0.30,0.32,0.38,0.25,79,55,14
"Zavala, Seby",-38.9,-20.8,0.32,0.24,0.41,0.19,321,200,38
"Zunino, Mike",-34.8,-25.4,0.39,0.30,0.49,0.25,174,102,25
