player,VSA,SBA,SwM,FB_SwM,BB_SwM,IZ_SwM,swings,IZ_swings,IZ swings/miss
"Cron, C.J.",-29.9,-13.3,0.22,0.13,0.33,0.15,364,207,32
"Cronenworth, Jake",-32.7,-9.8,0.12,0.06,0.22,0.06,728,484,31
"Cropley, Tyler",-35.4,-16.9,0.33,0.75,0.25,0.26,24,19,5
"Crow-Armstrong, Pete",-40.4,-13.7,0.44,0.52,0.13,0.50,41,30,15
"Cruz, Nelson",-32.1,-11.1,0.28,0.14,0.34,0.17,187,107,18
"D'Arnaud, Travis",-30.6,-23.8,0.26,0.22,0.32,0.19,462,319,62
"Dalbec, Bobby",-36.6,-25.4,0.60,0.79,0.43,0.43,59,35,15
"Davis, Henry",-27.8,-13.4,0.24,0.14,0.41,0.12,456,274,32
"Davis, J.D.",-36.0,-23.6,0.31,0.26,0.39,0.21,1129,805,173
"Davis, Jonathan",-31.7,-14.0,0.25,0.20,0.33,0.18,167,115,21
"Daza, Yonathan",-37.7,-7.6,0.03,0.00,0.07,0.00,33,20,0
"De La Cruz, Bryan",-38.1,-18.2,0.25,0.20,0.31,0.19,1036,629,121
"De La Cruz, Elly",-35.4,-11.5,0.27,0.21,0.34,0.15,713,409,63
"DeJong, Paul",-36.9,-19.7,0.32,0.25,0.40,0.20,698,420,85
"DeLuca, Jonny",-28.6,-15.7,0.24,0.10,0.38,0.08,92,48,4
"Delay, Jason",-35.3,-12.3,0.25,0.16,0.39,0.14,288,183,26
"Devers, Rafael",-27.0,-22.7,0.23,0.26,0.20,0.20,1033,640,130
"Diaz, Aledmys",-28.5,-7.2,0.19,0.16,0.20,0.13,428,287,38
"Diaz, Elias",-30.4,-7.4,0.27,0.19,0.34,0.15,887,559,86
"Diaz, Isan",-30.4,-25.2,0.36,0.00,0.30,0.21,39,28,6
"Diaz, Jordan",-25.6,-15.7,0.27,0.16,0.41,0.12,508,310,37
"Diaz, Yainer",-30.9,-26.1,0.26,0.22,0.30,0.13,642,359,47
"Diaz, Yandy",-25.6,-19.0,0.17,0.14,0.23,0.10,800,581,57
"Dickerson, Corey",-30.2,-8.8,0.19,0.16,0.20,0.11,284,155,17
"Dixon, Brandon",-28.3,-14.6,0.31,0.23,0.40,0.21,129,80,17
"Dominguez, Jasson",-32.1,-6.1,0.28,0.17,0.40,0.15,59,41,6
"Donaldson, Josh",-25.1,-35.8,0.26,0.21,0.32,0.20,261,172,34
"Donovan, Brendan",-32.2,-15.1,0.12,0.10,0.16,0.06,455,317,19
"Doyle, Brenton",-31.2,-28.8,0.35,0.24,0.46,0.19,714,448,85
"Dozier, Hunter",-31.7,-17.6,0.24,0.10,0.45,0.13,78,46,6
"Drury, Brandon",-31.3,-16.4,0.27,0.24,0.33,0.15,760,468,71
"Dubon, Mauricio",-32.7,-8.1,0.16,0.16,0.15,0.11,745,456,52
"Duffy, Matt",-35.1,-9.6,0.21,0.04,0.43,0.16,282,177,28
"Duran, Ezequiel",-27.7,-16.6,0.25,0.20,0.31,0.15,732,431,64
"Duran, Jarren",-31.3,-8.1,0.23,0.16,0.29,0.10,593,368,37
"Duvall, Adam",-32.0,-20.5,0.29,0.19,0.40,0.17,537,304,53
"Eaton, Nate",-33.0,-16.0,0.26,0.21,0.43,0.16,71,51,8
"Edman, Tommy",-23.6,-16.2,0.14,0.10,0.21,0.06,647,439,25
"Edwards, Xavier",-33.0,-4.7,0.15,0.10,0.15,0.10,123,82,8
"Ellis, Drew",-32.9,-11.3,0.23,0.15,0.20,0.14,37,28,4
"Encarnacion-Strand, Christian",-36.1,-20.2,0.29,0.24,0.35,0.18,465,278,49
"Escobar, Eduardo",-31.4,-14.6,0.28,0.28,0.30,0.24,487,289,68
"Espinal, Santiago",-33.4,-11.3,0.16,0.12,0.20,0.08,347,228,19
"Fairchild, Stuart",-35.6,-17.1,0.31,0.22,0.43,0.21,363,258,54
"Farmer, Kyle",-33.8,-20.6,0.20,0.13,0.31,0.10,537,322,33
"Fermin, Freddy",-39.1,-17.2,0.22,0.16,0.28,0.12,466,321,37
"Fermin, Jose",-30.9,-7.7,0.10,0.08,0.14,0.06,72,50,3
"Fletcher, David",-25.6,-11.9,0.15,0.06,0.24,0.09,109,68,6
"Fletcher, Dominic",-28.2,-16.6,0.19,0.11,0.33,0.12,176,117,14
"Florial, Estevan",-35.0,-12.6,0.37,0.27,0.41,0.27,97,75,20
"Ford, Mike",-31.2,-17.6,0.28,0.18,0.35,0.17,424,269,45
"Fortes, Nick",-20.1,-10.0,0.13,0.10,0.21,0.10,446,304,29
"Fraley, Jake",-39.4,-1.5,0.23,0.14,0.39,0.13,547,356,48
"France, Ty",-36.6,-19.0,0.20,0.12,0.27,0.09,1094,686,61
"Franco, Wander",-31.2,-18.6,0.13,0.11,0.13,0.09,639,407,37
"Frazier, Adam",-37.0,-10.8,0.19,0.13,0.27,0.10,620,418,41
"Frazier, Clint",-31.3,-17.5,0.30,0.18,0.30,0.19,125,81,15
"Freeman, Freddie",-42.9,-12.1,0.19,0.14,0.26,0.12,1134,762,95
"Freeman, Tyler",-32.6,-4.6,0.16,0.12,0.25,0.08,259,167,14
"Frelick, Sal",-27.4,-10.3,0.13,0.12,0.17,0.07,345,216,16
"Friedl, Jr, TJ",-28.0,-3.5,0.15,0.06,0.18,0.07,728,495,37
"Fry, David",-31.9,-19.8,0.26,0.20,0.35,0.21,242,140,29
"Gallagher, Cam",-27.4,-6.4,0.21,0.21,0.23,0.16,237,140,22
"Gallo, Joey",-36.2,-22.8,0.44,0.34,0.53,0.32,536,354,114
"Gamel, Ben",-36.7,-6.5,0.08,0.11,0.14,0.05,25,22,1
"Garcia, Adolis",-29.6,-25.3,0.31,0.27,0.34,0.21,1002,625,132
"Garcia, Avisail",-31.8,-15.1,0.36,0.23,0.39,0.15,114,59,9
"Garcia, Jose",-35.2,-11.6,0.34,0.18,0.46,0.18,155,97,17
"Garcia, Luis",-29.7,-19.7,0.15,0.08,0.17,0.09,680,440,38
"Garcia, Maikel",-28.5,-26.5,0.18,0.18,0.20,0.12,754,530,64
"Garlick, Kyle",-37.7,-23.2,0.34,0.25,0.60,0.26,29,19,5
"Garrett, Stone",-30.7,-14.7,0.31,0.23,0.37,0.21,485,307,64
"Garver, Mitch",-28.0,-22.5,0.20,0.12,0.29,0.12,520,359,44
"Gelof, Zack",-34.3,-31.1,0.31,0.24,0.43,0.25,563,359,89
"Gimenez, Andres",-31.6,-14.5,0.22,0.18,0.26,0.13,979,556,71
"Goldschmidt, Paul",-32.2,-21.0,0.25,0.18,0.32,0.20,1012,674,133
"Gomes, Yan",-32.4,-13.1,0.22,0.16,0.27,0.14,635,383,52
"Gonzales, Nick",-42.5,-24.4,0.31,0.22,0.42,0.20,246,166,33
"Gonzalez, Oscar",-31.5,-7.5,0.32,0.27,0.38,0.18,241,125,23
"Gonzalez, Romy",-28.8,-19.7,0.35,0.15,0.56,0.22,83,49,11
"Goodman, Hunter",-23.6,-16.1,0.35,0.22,0.46,0.17,146,72,12
"Gordon, Nick",-35.1,-12.3,0.21,0.15,0.29,0.04,76,46,2
"Gorman, Nolan",-37.8,-19.6,0.34,0.33,0.37,0.24,752,469,113
"Grandal, Yasmani",-26.3,-20.3,0.22,0.17,0.35,0.15,553,363,55
"Greene, Riley",-44.2,-16.8,0.24,0.15,0.39,0.16,578,395,63
"Grichuk, Randal",-27.2,-19.9,0.25,0.17,0.37,0.12,797,480,59
"Grisham, Trent",-33.1,-33.5,0.22,0.16,0.30,0.15,761,525,79
"Grissom, Vaughn",-39.7,-8.5,0.23,0.13,0.32,0.08,77,49,4
"Grossman, Robbie",-36.4,-13.1,0.18,0.09,0.29,0.11,542,399,43
"Guerrero, Vladimir",-28.4,-5.4,0.21,0.15,0.27,0.12,999,659,82
"Guillorme, Luis",-31.9,-16.5,0.17,0.10,0.25,0.10,149,102,10
"Gurriel, Lourdes",-34.4,-14.7,0.16,0.08,0.24,0.08,869,583,46
"Gurriel, Yuli",-21.5,-6.6,0.15,0.13,0.19,0.10,502,299,29
"Guthrie, Dalton",-31.0,-18.7,0.30,0.30,0.39,0.26,58,34,9
"Haase, Eric",-27.1,-15.5,0.28,0.24,0.34,0.17,434,260,43
"Haggerty, Sam",-31.3,2.0,0.20,0.11,0.23,0.14,158,111,15
"Hall, Darick",-29.7,-22.1,0.18,0.11,0.20,0.06,75,51,3
"Hamilton, David",-34.1,-6.2,0.19,0.11,0.00,0.09,73,45,4
"Hampson, Garrett",-30.6,-17.1,0.24,0.14,0.40,0.15,323,201,31
"Haniger, Mitch",-33.4,-21.2,0.27,0.18,0.35,0.15,426,279,42
"Happ, Ian",-31.9,-15.5,0.22,0.16,0.30,0.14,1002,676,98
"Harper, Bryce",-36.3,-15.1,0.32,0.23,0.38,0.19,1000,583,111
"Harris, Michael",-28.3,-13.0,0.22,0.15,0.27,0.14,894,512,70
"Harrison, Josh",-34.5,-23.3,0.21,0.21,0.21,0.21,122,85,18
"Haseley, Adam",-27.7,-10.4,0.19,0.16,0.36,0.18,37,28,5
"Hayes, Ke'Bryan",-28.2,-13.6,0.21,0.12,0.30,0.10,668,419,43
"Hays, Austin",-28.1,-23.4,0.26,0.18,0.32,0.13,818,489,66
"Hedges, Austin",-27.2,-17.9,0.28,0.19,0.40,0.18,306,193,34
"Heim, Jonah",-29.7,-21.7,0.21,0.22,0.22,0.14,816,542,78
"Heineman, Tyler",-30.6,-9.4,0.17,0.18,0.00,0.13,64,38,5
"Henderson, Gunnar",-34.3,-17.3,0.22,0.19,0.27,0.15,937,616,94
"Hensley, David",-32.4,-16.9,0.25,0.29,0.29,0.09,45,34,3
"Hernandez, Enrique",-27.5,-9.5,0.21,0.12,0.32,0.13,700,452,61
"Hernandez, Teoscar",-32.6,-20.8,0.33,0.25,0.37,0.22,1176,726,158
"Hernandez, Yonny",-32.6,-11.3,0.32,0.30,0.67,0.22,34,27,6
"Herrera, Ivan",-34.8,-19.5,0.22,0.14,0.33,0.15,76,47,7
"Herrera, Jose",-34.8,-1.9,0.17,0.12,0.21,0.10,165,122,12
"Heyward, Jason",-30.3,-7.7,0.19,0.06,0.30,0.09,532,324,30
"Hicks, Aaron",-28.6,-14.9,0.20,0.12,0.26,0.12,415,258,32
"Higashioka, Kyle",-32.2,-16.3,0.24,0.15,0.29,0.12,424,279,34
"Hill, Derek",-31.3,-9.6,0.21,0.05,0.39,0.13,97,56,7
"Hilliard, Sam",-24.8,-12.4,0.26,0.23,0.31,0.17,49,29,5
"Hoerner, Nico",-32.1,-7.0,0.11,0.05,0.20,0.06,901,568,32
"Hopkins, TJ",-34.9,-23.8,0.32,0.21,0.44,0.18,71,45,8
"Horwitz, Spencer",-38.3,-18.2,0.26,0.08,0.46,0.13,80,54,7
"Hosmer, Eric",-27.1,-20.9,0.17,0.20,0.17,0.15,72,41,6
"Huff, Sam",-33.5,-13.8,0.43,0.21,0.62,0.26,79,42,11
"Ibanez, Andy",-28.7,-14.2,0.21,0.15,0.28,0.11,607,372,41
"India, Jonathan",-30.9,-12.7,0.23,0.13,0.35,0.16,625,450,71
"Isbel, Kyle",-22.3,-6.9,0.16,0.06,0.29,0.08,380,246,20
"Jankowski, Travis",-31.6,6.2,0.10,0.04,0.21,0.06,369,250,16
"Jansen, Danny",-29.4,-19.9,0.20,0.19,0.23,0.15,485,344,50
"Jeffers, Ryan",-33.1,-14.6,0.28,0.18,0.40,0.18,484,296,52
"Jimenez, Eloy",-24.8,-15.9,0.25,0.10,0.37,0.15,633,378,55
"Joe, Connor",-31.3,-3.9,0.21,0.12,0.33,0.14,676,445,61
"Johnson, Bryce",-36.4,-5.4,0.28,0.24,0.44,0.16,83,49,8
"Jones, Jahmai",-34.1,-20.2,0.32,0.25,0.33,0.28,24,18,5
"Jones, Nolan",-37.8,-10.5,0.30,0.27,0.37,0.23,662,408,94
"Judge, Aaron",-42.6,-11.8,0.32,0.20,0.41,0.22,640,401,88
"Julien, Edouard",-44.5,-23.8,0.26,0.15,0.43,0.18,569,420,77
"Julks, Corey",-37.2,-9.9,0.20,0.12,0.28,0.13,435,266,34
"Jung, Josh",-39.2,-17.7,0.27,0.21,0.34,0.15,793,487,75
"Kelenic, Jarred",-32.0,-26.8,0.31,0.21,0.40,0.18,611,364,65
"Kelly, Carson",-32.3,-13.1,0.28,0.19,0.39,0.21,229,154,33
"Kemp, Tony",-30.9,-14.2,0.11,0.06,0.18,0.08,561,363,28
"Kennedy, Buddy",-35.1,-2.5,0.19,0.25,0.31,0.14,44,35,5
"Kepler-Rozycki, Max",-30.9,-4.7,0.19,0.12,0.25,0.09,751,498,47
"Kessinger, Grae",-28.5,-20.4,0.27,0.30,0.16,0.23,75,48,11
"Kieboom, Carter",-28.9,-7.8,0.29,0.26,0.31,0.22,149,106,23
"Kiermaier, Kevin",-29.8,-10.5,0.28,0.18,0.40,0.19,603,402,75
"Kim, Ha-Seong",-24.6,-16.6,0.15,0.13,0.18,0.11,877,585,65
"Kiner-Falefa, Isiah",-33.0,-8.4,0.17,0.10,0.22,0.09,532,363,34
"Kirilloff, Alex",-35.2,-27.2,0.26,0.18,0.36,0.15,492,296,44
"Kirk, Alejandro",-23.5,-20.7,0.10,0.06,0.17,0.05,563,359,17
"Kjerstad, Heston",-41.0,-13.5,0.43,0.31,0.50,0.16,36,19,3
"Knizner, Andrew",-25.4,-20.8,0.24,0.18,0.37,0.15,410,250,37
"Kohlwey, Taylor",-38.6,-0.8,0.29,0.20,0.50,0.14,21,14,2
"Kwan, Steven",-34.8,1.4,0.09,0.07,0.14,0.05,912,628,29
"Lamb, Jake",-32.2,-20.1,0.35,0.27,0.43,0.28,32,18,5
"Langeliers, Shea",-29.6,-20.8,0.30,0.24,0.37,0.21,740,474,100
"Larnach, Trevor",-40.5,-11.0,0.33,0.19,0.47,0.21,180,126,26
"Laureano, Ramon",-36.0,-15.9,0.27,0.18,0.34,0.11,594,385,44
"Lawlar, Jordan",-35.7,-20.8,0.30,0.22,0.41,0.18,67,44,8
"LeMahieu, DJ",-28.4,-22.1,0.17,0.11,0.23,0.11,732,488,53
"Lee, Korey",-30.6,-19.1,0.27,0.13,0.28,0.14,118,77,11
"Leon, Sandy",-34.4,-17.1,0.20,0.20,0.16,0.20,59,35,7
"Lester, Josh",-37.6,-23.3,0.31,0.20,0.33,0.19,35,21,4
"Lewis, Kyle",-36.7,-25.9,0.24,0.35,0.17,0.25,64,44,11
"Lewis, Royce",-26.1,-18.2,0.22,0.17,0.22,0.12,401,252,30
"Lindor, Francisco",-32.1,-16.9,0.20,0.14,0.28,0.12,1085,683,83
"Lipcius, Andre",-38.3,-29.7,0.27,0.19,0.39,0.23,70,43,10
"Locastro, Tim",-30.8,-19.8,0.29,0.23,0.20,0.19,87,48,9
"Loftin, Nick",-32.3,-11.0,0.16,0.06,0.36,0.12,74,51,6
"Longoria, Evan",-36.5,-20.1,0.26,0.14,0.40,0.17,299,190,32
"Lopez, Irving",-27.3,-24.9,0.38,0.09,0.50,0.15,25,13,2
"Lopez, Nicky",-28.6,-29.1,0.20,0.21,0.20,0.15,384,250,38
"Lowe, Brandon",-36.9,-17.7,0.27,0.21,0.37,0.14,690,432,62
"Lowe, Josh",-36.0,-7.7,0.28,0.25,0.33,0.17,848,483,84
"Lowe, Nathaniel",-30.3,-21.5,0.17,0.16,0.21,0.09,1058,711,65
"Lukes, Nathan",-33.0,-20.0,0.10,0.03,0.20,0.03,51,36,1
"Luplow, Jordan",-31.0,-30.9,0.33,0.30,0.33,0.24,149,103,25
"Machado, Manny",-24.1,-16.7,0.20,0.16,0.26,0.13,857,559,70
"Madrigal, Nick",-26.7,-7.1,0.07,0.04,0.13,0.01,411,251,3
"Madris, Bligh",-34.8,-11.2,0.27,0.03,0.43,0.20,60,41,8
"Maile, Luke",-34.3,-21.6,0.21,0.15,0.32,0.13,283,208,26
"Maldonado, Martin",-31.2,-20.6,0.33,0.29,0.40,0.24,621,413,98
"Mancini, Trey",-33.8,-20.4,0.31,0.21,0.44,0.22,362,231,50
"Marcano, Tucupita",-33.0,-20.0,0.16,0.09,0.24,0.08,312,204,16
"Margot, Manuel",-27.2,-10.2,0.22,0.15,0.28,0.15,458,298,45
"Marisnick, Jake",-36.4,-7.7,0.22,0.12,0.37,0.13,133,78,10
"Marlowe, Cade",-41.5,-16.8,0.29,0.30,0.33,0.23,208,132,30
"Marsh, Brandon",-41.5,-12.4,0.25,0.19,0.40,0.15,643,417,61
"Marte, Ketel",-32.4,-8.6,0.19,0.11,0.27,0.12,907,610,73
"Marte, Noelvi",-30.7,-8.5,0.24,0.16,0.26,0.14,183,120,17
"Marte, Starling",-35.5,-11.2,0.25,0.14,0.37,0.12,468,291,36
"Martinez, J.D.",-39.0,-15.8,0.32,0.20,0.43,0.18,816,494,91
"Martinez, J.P.",-28.3,-16.6,0.28,0.29,0.50,0.21,83,56,12
"Martini, Nick",-32.8,-18.0,0.18,0.16,0.25,0.11,128,90,10
"Massey, Michael",-35.6,-14.6,0.19,0.15,0.22,0.11,742,469,52
"Mastrobuoni, Miles",-33.2,-15.1,0.15,0.11,0.14,0.10,186,111,11
"Mateo, Jorge",-29.5,-3.0,0.27,0.16,0.36,0.14,494,300,42
"Mathias, Mark",-33.2,-24.9,0.23,0.26,0.20,0.17,62,42,7
"Maton, Nick",-39.0,-15.0,0.28,0.12,0.39,0.22,361,247,54
"Mauricio, Ronny",-25.7,-11.0,0.29,0.23,0.44,0.21,183,89,19
"McCann, James",-37.0,-12.8,0.30,0.21,0.39,0.16,349,209,33
"McCarthy, Jake",-34.9,-13.2,0.21,0.12,0.31,0.11,468,296,32
"McCormick, Chas",-39.7,-29.3,0.28,0.21,0.34,0.20,745,466,91
"McCutchen, Andrew",-35.5,-21.1,0.25,0.18,0.34,0.17,657,471,79
"McGuire, Reese",-32.6,-12.1,0.22,0.18,0.29,0.12,298,168,20
"McKenna, Ryan",-30.9,-14.7,0.36,0.25,0.34,0.20,208,131,26
"McKinney, Billy",-36.8,-14.7,0.27,0.19,0.38,0.17,248,172,29
"McKinstry, Zach",-39.0,-10.0,0.18,0.12,0.25,0.10,761,519,54
"McLain, Matt",-33.6,-21.9,0.25,0.16,0.35,0.14,660,441,63
"McMahon, Ryan",-38.2,-17.1,0.30,0.27,0.38,0.23,1024,659,149
"McNeil, Jeff",-32.2,-7.5,0.12,0.06,0.22,0.07,949,627,41
"Mead, Curtis",-30.2,-7.3,0.27,0.20,0.30,0.16,147,89,14
"Meadows, Parker",-32.9,-7.0,0.21,0.14,0.35,0.09,215,137,12
"Mejia, Francisco",-30.2,-11.1,0.20,0.20,0.23,0.11,236,114,12
"Melendez, MJ",-31.8,-22.5,0.30,0.28,0.33,0.23,921,614,144
"Mendick, Danny",-28.7,-20.0,0.20,0.10,0.34,0.15,126,88,13
"Meneses, Joey",-34.1,-9.9,0.21,0.13,0.32,0.12,966,590,69
"Mercado, Oscar",-37.9,-9.6,0.22,0.08,0.35,0.15,63,41,6
"Merrifield, Whit",-33.6,-16.7,0.17,0.10,0.26,0.11,963,609,66
"Mervis, Matt",-32.1,-11.2,0.29,0.19,0.39,0.18,195,132,24
"Meyers, Jake",-31.8,-14.2,0.22,0.13,0.34,0.13,497,327,44
"Millas, Drew",-32.1,-7.4,0.19,0.09,0.18,0.13,69,46,6
"Miller, Brad",-28.5,-26.4,0.18,0.14,0.20,0.19,47,32,6
